FeatureCode,DateCode,Measurement,Units,Value,Industry Sector (SIC 07),Export Destination
S92000003,2002,Count,million pounds (GBP),340,Administrative and Support Services (Section N),International
S92000003,2010,Count,million pounds (GBP),595,Administrative and Support Services (Section N),International
S92000003,2003,Count,million pounds (GBP),305,Administrative and Support Services (Section N),International
S92000003,2011,Count,million pounds (GBP),2090,Administrative and Support Services (Section N),Total
S92000003,2012,Count,million pounds (GBP),995,Administrative and Support Services (Section N),International
S92000003,2017,Count,million pounds (GBP),260,Administrative and Support Services (Section N),EU
S92000003,2011,Count,million pounds (GBP),235,Administrative and Support Services (Section N),EU
S92000003,2003,Count,million pounds (GBP),1840,Administrative and Support Services (Section N),Total
S92000003,2005,Count,million pounds (GBP),230,Administrative and Support Services (Section N),Non-EU
S92000003,2002,Count,million pounds (GBP),215,Administrative and Support Services (Section N),Non-EU
S92000003,2002,Count,million pounds (GBP),1140,Administrative and Support Services (Section N),Rest of UK
S92000003,2017,Count,million pounds (GBP),760,Administrative and Support Services (Section N),International
S92000003,2004,Count,million pounds (GBP),325,Administrative and Support Services (Section N),International
S92000003,2009,Count,million pounds (GBP),245,Administrative and Support Services (Section N),EU
S92000003,2014,Count,million pounds (GBP),3110,Administrative and Support Services (Section N),Rest of UK
S92000003,2009,Count,million pounds (GBP),740,Administrative and Support Services (Section N),International
S92000003,2011,Count,million pounds (GBP),1380,Administrative and Support Services (Section N),Rest of UK
S92000003,2006,Count,million pounds (GBP),1605,Administrative and Support Services (Section N),Rest of UK
S92000003,2012,Count,million pounds (GBP),3065,Administrative and Support Services (Section N),Total
S92000003,2005,Count,million pounds (GBP),2295,Administrative and Support Services (Section N),Total
S92000003,2017,Count,million pounds (GBP),3130,Administrative and Support Services (Section N),Total
S92000003,2014,Count,million pounds (GBP),815,Administrative and Support Services (Section N),Non-EU
S92000003,2012,Count,million pounds (GBP),670,Administrative and Support Services (Section N),Non-EU
S92000003,2015,Count,million pounds (GBP),255,Administrative and Support Services (Section N),EU
S92000003,2007,Count,million pounds (GBP),265,Administrative and Support Services (Section N),EU
S92000003,2004,Count,million pounds (GBP),105,Administrative and Support Services (Section N),EU
S92000003,2011,Count,million pounds (GBP),475,Administrative and Support Services (Section N),Non-EU
S92000003,2008,Count,million pounds (GBP),235,Administrative and Support Services (Section N),EU
S92000003,2002,Count,million pounds (GBP),1480,Administrative and Support Services (Section N),Total
S92000003,2009,Count,million pounds (GBP),2215,Administrative and Support Services (Section N),Rest of UK
S92000003,2013,Count,million pounds (GBP),685,Administrative and Support Services (Section N),Non-EU
S92000003,2012,Count,million pounds (GBP),325,Administrative and Support Services (Section N),EU
S92000003,2006,Count,million pounds (GBP),360,Administrative and Support Services (Section N),Non-EU
S92000003,2004,Count,million pounds (GBP),220,Administrative and Support Services (Section N),Non-EU
S92000003,2008,Count,million pounds (GBP),515,Administrative and Support Services (Section N),Non-EU
S92000003,2005,Count,million pounds (GBP),150,Administrative and Support Services (Section N),EU
S92000003,2017,Count,million pounds (GBP),2375,Administrative and Support Services (Section N),Rest of UK
S92000003,2007,Count,million pounds (GBP),430,Administrative and Support Services (Section N),Non-EU
S92000003,2003,Count,million pounds (GBP),1535,Administrative and Support Services (Section N),Rest of UK
S92000003,2013,Count,million pounds (GBP),3780,Administrative and Support Services (Section N),Total
S92000003,2010,Count,million pounds (GBP),1845,Administrative and Support Services (Section N),Rest of UK
S92000003,2016,Count,million pounds (GBP),2715,Administrative and Support Services (Section N),Rest of UK
S92000003,2008,Count,million pounds (GBP),2140,Administrative and Support Services (Section N),Rest of UK
S92000003,2005,Count,million pounds (GBP),380,Administrative and Support Services (Section N),International
S92000003,2016,Count,million pounds (GBP),815,Administrative and Support Services (Section N),International
S92000003,2017,Count,million pounds (GBP),500,Administrative and Support Services (Section N),Non-EU
S92000003,2005,Count,million pounds (GBP),1915,Administrative and Support Services (Section N),Rest of UK
S92000003,2013,Count,million pounds (GBP),1075,Administrative and Support Services (Section N),International
S92000003,2014,Count,million pounds (GBP),435,Administrative and Support Services (Section N),EU
S92000003,2016,Count,million pounds (GBP),3530,Administrative and Support Services (Section N),Total
S92000003,2010,Count,million pounds (GBP),2440,Administrative and Support Services (Section N),Total
S92000003,2010,Count,million pounds (GBP),235,Administrative and Support Services (Section N),EU
S92000003,2008,Count,million pounds (GBP),2890,Administrative and Support Services (Section N),Total
S92000003,2007,Count,million pounds (GBP),2950,Administrative and Support Services (Section N),Total
S92000003,2011,Count,million pounds (GBP),710,Administrative and Support Services (Section N),International
S92000003,2008,Count,million pounds (GBP),750,Administrative and Support Services (Section N),International
S92000003,2013,Count,million pounds (GBP),2705,Administrative and Support Services (Section N),Rest of UK
S92000003,2006,Count,million pounds (GBP),2155,Administrative and Support Services (Section N),Total
S92000003,2004,Count,million pounds (GBP),1865,Administrative and Support Services (Section N),Total
S92000003,2015,Count,million pounds (GBP),3540,Administrative and Support Services (Section N),Total
S92000003,2012,Count,million pounds (GBP),2070,Administrative and Support Services (Section N),Rest of UK
S92000003,2004,Count,million pounds (GBP),1535,Administrative and Support Services (Section N),Rest of UK
S92000003,2007,Count,million pounds (GBP),695,Administrative and Support Services (Section N),International
S92000003,2009,Count,million pounds (GBP),2955,Administrative and Support Services (Section N),Total
S92000003,2015,Count,million pounds (GBP),2615,Administrative and Support Services (Section N),Rest of UK
S92000003,2015,Count,million pounds (GBP),925,Administrative and Support Services (Section N),International
S92000003,2015,Count,million pounds (GBP),670,Administrative and Support Services (Section N),Non-EU
S92000003,2009,Count,million pounds (GBP),490,Administrative and Support Services (Section N),Non-EU
S92000003,2007,Count,million pounds (GBP),2260,Administrative and Support Services (Section N),Rest of UK
S92000003,2016,Count,million pounds (GBP),240,Administrative and Support Services (Section N),EU
S92000003,2006,Count,million pounds (GBP),195,Administrative and Support Services (Section N),EU
S92000003,2014,Count,million pounds (GBP),4365,Administrative and Support Services (Section N),Total
S92000003,2003,Count,million pounds (GBP),85,Administrative and Support Services (Section N),EU
S92000003,2003,Count,million pounds (GBP),215,Administrative and Support Services (Section N),Non-EU
S92000003,2010,Count,million pounds (GBP),360,Administrative and Support Services (Section N),Non-EU
S92000003,2016,Count,million pounds (GBP),575,Administrative and Support Services (Section N),Non-EU
S92000003,2014,Count,million pounds (GBP),1255,Administrative and Support Services (Section N),International
S92000003,2006,Count,million pounds (GBP),555,Administrative and Support Services (Section N),International
S92000003,2013,Count,million pounds (GBP),3845,"Professional, Scientific & Technical (Section M)",Rest of UK
S92000003,2004,Count,million pounds (GBP),575,"Professional, Scientific & Technical (Section M)",Non-EU
S92000003,2015,Count,million pounds (GBP),1210,"Professional, Scientific & Technical (Section M)",EU
S92000003,2002,Count,million pounds (GBP),690,"Professional, Scientific & Technical (Section M)",Non-EU
S92000003,2015,Count,million pounds (GBP),5120,"Professional, Scientific & Technical (Section M)",Rest of UK
S92000003,2012,Count,million pounds (GBP),3610,"Professional, Scientific & Technical (Section M)",Rest of UK
S92000003,2010,Count,million pounds (GBP),2910,"Professional, Scientific & Technical (Section M)",Rest of UK
S92000003,2004,Count,million pounds (GBP),2515,"Professional, Scientific & Technical (Section M)",Total
S92000003,2004,Count,million pounds (GBP),1495,"Professional, Scientific & Technical (Section M)",Rest of UK
S92000003,2012,Count,million pounds (GBP),6585,"Professional, Scientific & Technical (Section M)",Total
S92000003,2002,Count,million pounds (GBP),2825,"Professional, Scientific & Technical (Section M)",Total
S92000003,2017,Count,million pounds (GBP),7820,"Professional, Scientific & Technical (Section M)",Total
